product_name,description,price,stock_quantity,brand_name,image_url
iPhone 13 2023,Sản phẩm iPhone 13 2023 chính hãng từ Apple.,14338933,79,Apple,iphone_13_2023.jpg
Galaxy Tab S8 Edition,Sản phẩm Galaxy Tab S8 Edition chính hãng từ Samsung.,42698826,18,Samsung,galaxy_tab_s8_edition.jpg
Asus ROG Strix Pro,Sản phẩm Asus ROG Strix Pro chính hãng từ Asus.,37880103,40,Asus,asus_rog_strix_pro.jpg
Sony Bravia XR Edition,Sản phẩm Sony Bravia XR Edition chính hãng từ Sony.,35726066,11,Sony,sony_bravia_xr_edition.jpg
Canon EOS M50 Lite,Sản phẩm Canon EOS M50 Lite chính hãng từ Canon.,14332382,60,Canon,canon_eos_m50_lite.jpg
iPhone 14 Pro Max 5G,Sản phẩm iPhone 14 Pro Max 5G chính hãng từ Apple.,23936225,89,Apple,iphone_14_pro_max_5g.jpg
Samsung Soundbar Pro,Sản phẩm Samsung Soundbar Pro chính hãng từ Samsung.,43786660,61,Samsung,samsung_soundbar_pro.jpg
Asus ROG Phone 6 SE,Sản phẩm Asus ROG Phone 6 SE chính hãng từ Asus.,6744564,28,Asus,asus_rog_phone_6_se.jpg
Sony WH-1000XM5 Lite,Sản phẩm Sony WH-1000XM5 Lite chính hãng từ Sony.,10456043,60,Sony,sony_wh-1000xm5_lite.jpg
Canon PowerShot G7 X Pro,Sản phẩm Canon PowerShot G7 X Pro chính hãng từ Canon.,10733767,67,Canon,canon_powershot_g7_x_pro.jpg
MacBook Air M2 5G,Sản phẩm MacBook Air M2 5G chính hãng từ Apple.,14186824,98,Apple,macbook_air_m2_5g.jpg
Galaxy S23 Ultra SE,Sản phẩm Galaxy S23 Ultra SE chính hãng từ Samsung.,19457682,73,Samsung,galaxy_s23_ultra_se.jpg
Asus RT-AX86U Router 2023,Sản phẩm Asus RT-AX86U Router 2023 chính hãng từ Asus.,31694588,86,Asus,asus_rt-ax86u_router_2023.jpg
Sony PlayStation 5 SE,Sản phẩm Sony PlayStation 5 SE chính hãng từ Sony.,21432665,78,Sony,sony_playstation_5_se.jpg
Canon SELPHY CP1300 Edition,Sản phẩm Canon SELPHY CP1300 Edition chính hãng từ Canon.,11022363,46,Canon,canon_selphy_cp1300_edition.jpg
MacBook Pro 16 Plus,Sản phẩm MacBook Pro 16 Plus chính hãng từ Apple.,23005409,41,Apple,macbook_pro_16_plus.jpg
Samsung QLED TV SE,Sản phẩm Samsung QLED TV SE chính hãng từ Samsung.,20481831,41,Samsung,samsung_qled_tv_se.jpg
Asus TUF Gaming F15 Pro,Sản phẩm Asus TUF Gaming F15 Pro chính hãng từ Asus.,7304393,54,Asus,asus_tuf_gaming_f15_pro.jpg
Sony ZV-E10 Edition,Sản phẩm Sony ZV-E10 Edition chính hãng từ Sony.,17706011,80,Sony,sony_zv-e10_edition.jpg
Canon EOS R5 Plus,Sản phẩm Canon EOS R5 Plus chính hãng từ Canon.,25247427,39,Canon,canon_eos_r5_plus.jpg
Apple Watch Series 9 Edition,Sản phẩm Apple Watch Series 9 Edition chính hãng từ Apple.,21607033,61,Apple,apple_watch_series_9_edition.jpg
