product_name,description,price,is_featured,stock_quantity,category_id,brand_id,image_url,sales_count,created_at,updated_at
"Sony Xperia 1 V","6.5-inch 4K OLED, Snapdragon 8 Gen 2",1399.99,1,45,1,1,/images/xperia1v.jpg,120,2023-06-10 09:30:00,2025-01-15 14:20:00
"Samsung Galaxy S23","6.1-inch AMOLED, 50MP camera",849.99,0,60,1,2,/images/galaxys23.jpg,90,2023-08-15 11:45:00,2025-02-20 10:30:00
"Apple iPhone 14 Pro","6.1-inch Super Retina XDR, A16 Bionic",999.99,1,50,1,3,/images/iphone14pro.jpg,150,2023-05-20 13:00:00,2024-12-10 16:10:00
"Asus ROG Phone 7","6.78-inch AMOLED, 165Hz refresh",1099.99,0,30,1,4,/images/rogphone7.jpg,80,2023-07-25 10:15:00,2025-03-05 12:40:00
"Canon EOS R10","24.2MP mirrorless, 4K video",899.99,1,40,3,5,/images/eosr10.jpg,200,2023-09-10 14:30:00,2025-04-01 09:50:00
"Apple MacBook Air M2","13.6-inch Retina, 8GB RAM",1199.99,1,20,2,3,/images/macbookairm2.jpg,70,2023-04-15 12:20:00,2024-11-25 15:00:00
"Samsung Galaxy Book 3","15.6-inch AMOLED, Intel i7",1299.99,0,25,2,2,/images/galaxybook3.jpg,60,2023-10-20 09:40:00,2025-01-30 11:10:00
"Sony VAIO Z","14-inch 4K, Intel i7",1799.99,1,15,2,1,/images/vaioz.jpg,50,2023-03-25 15:50:00,2024-09-15 13:20:00
"Asus ZenBook 14","14-inch OLED, Ryzen 7",999.99,0,35,2,4,/images/zenbook14.jpg,65,2023-06-20 11:30:00,2025-02-15 14:40:00
"Canon PowerShot G7X","20.1MP, 4.2x optical zoom",699.99,0,80,3,5,/images/powershotg7x.jpg,180,2023-08-05 13:10:00,2025-03-20 10:00:00
"Samsung Galaxy Z Fold 5","7.6-inch foldable AMOLED",1799.99,1,20,1,2,/images/zfold5.jpg,100,2023-11-15 12:00:00,2025-04-10 15:30:00
"Apple AirPods Pro","Active noise cancellation, wireless",249.99,1,70,3,3,/images/airpodspro.jpg,220,2023-05-30 10:50:00,2024-12-05 09:20:00
"Sony WH-1000XM5","Noise-canceling headphones, 30h battery",399.99,0,65,3,1,/images/wh1000xm5.jpg,190,2023-07-10 14:20:00,2025-02-25 11:50:00
"Asus TUF Gaming A15","15.6-inch 144Hz, RTX 3060",1299.99,1,12,2,4,/images/tufgaminga15.jpg,55,2023-09-20 09:30:00,2024-11-10 13:40:00
"Canon EF 50mm Lens","F1.8, STM, compact design",129.99,0,90,3,5,/images/ef50mm.jpg,170,2023-12-10 11:40:00,2025-05-15 12:30:00
"Apple iPhone 13","6.1-inch Super Retina, A15 chip",699.99,0,55,1,3,/images/iphone13.jpg,110,2023-04-10 15:00:00,2024-10-20 14:10:00
"Samsung Galaxy A54","6.4-inch AMOLED, 50MP camera",449.99,0,60,1,2,/images/galaxya54.jpg,95,2023-06-25 12:10:00,2025-01-20 09:50:00
"Sony Xperia 5 IV","6.1-inch OLED, 120Hz refresh",999.99,1,40,1,1,/images/xperia5iv.jpg,85,2023-08-30 13:50:00,2025-03-10 11:20:00
"Asus VivoBook 15","15.6-inch FHD, Ryzen 5",799.99,0,30,2,4,/images/vivobook15.jpg,60,2023-03-15 10:40:00,2024-12-15 15:30:00
"Canon Camera Bag","Water-resistant, padded",59.99,0,100,3,5,/images/canonbag.jpg,200,2023-10-05 09:20:00,2025-04-20 14:00:00
"Apple MacBook Pro 14","14.2-inch Liquid Retina, M2 Pro",1599.99,1,10,2,3,/images/macbookpro14.jpg,75,2023-05-15 14:30:00,2024-11-30 12:50:00
